MZ name,coordenadas,restaurant_name,dish_name,details,categories,unitMinPrice,valoration,delivery_fee,delivery_time_min,delivery_time_max,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Coca Cola,Bebida refrescante de 400 ml,Bebidas,4700,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,Sushi Home Unicentro de Occidente,Té Hatsu,Bebida de 400 ml,Bebidas,8600,4.47457981109619,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Kids,Promo Kids! Lleva 5 Phila Crispy + 1 Porcion de oreo Cunchy + Helado de Popsy 60g,Promociones,23900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Ebi Maki (ifood),Ebi Maki (ifood) - 5 boc,Promociones,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Nikkei Maki (ifood),Nikkei Maki (ifood) - 5 boc,Promociones,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo 1/2 Hot roll,5 bocados de Hot Roll,Promociones,9000,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Favoritos,"30 makis: 5 Ojo de Tigre, 5 Phila Crispy, 5 Philadelphia, 5 Kanikama, 5 Mozzarella y 5 Sam",Promociones,49900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Fresh,Promo Fresh,Promociones,52900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Poke 2x1,Promo Poke 2x1,Promociones,39900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Tokio (Ifood),Tokio (Ifood) - 5 boc,Promociones,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Fuji maki (Ifood),Fuji maki (Ifood) 5 boc.,Promociones,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),1/2 Tokio Roll,"Calamar crispy, aguacate, masago y queso crema philadelphia, envuelto en ajonjoli",Promociones,9900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Familiar,"Ojo de tigre, Chipa, Salmon Skin , California, Philadelphia, Phila. Crispy",Promociones,59900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo La Lonchera,30 makis (3 rollos) de todo el menu.,Promociones,59900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Especial,30 makis (3 rollos) incluye rollos de la casa y especiales.,Destacados,51900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Personal,"Ojo de tigre, Philadelphia, Tokio",Destacados,29900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Rollos Top,Nuestros Rollos Top: 1/2 Samurai - 1/2 Mozarrella - 1/2 Boom Roll - 1/2 Kanikama,Destacados,47900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Promo Extra Familiar 45 Makis,1/2 Samurai --1/2 Hot Roll--1/2 Philadelphia--1/2 Tokio--1/2 Kanikama--1/2 Akihito--1/2 La,Destacados,83900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Deditos De Cangrejos Mega,Deditos De Cangrejos Mega,Entradas  ,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Gyosas De Pollo Y Vegetales Mega,Gyosas De Pollo Y Vegetales Mega,Entradas  ,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Gyozas De Champiñon Mega,Gyozas De Champiñon Mega,Entradas  ,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Gyozas De Queso Mega,Gyozas De Queso Mega,Entradas  ,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Spring Rolls Mega,"3 rollos chinos rellenos de pollo y vegetales, acompanados de Chile dulce.",Entradas  ,13100,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Alas x 6,3 colombinas y 3 coditos,Entradas  ,18900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Alas x 12 + Blue Cheese,6 colombinas y 6 coditos + Blue Cheese,Entradas  ,22900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Langostinos,"4 langostinos tempurizados con coco o al ajillo, acompanados de la salsa de la casa.",Entradas  ,18900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Spring rolls,"2 rollos chinos rellenos de pollo y vegetales, acompanados de Chile dulce.",Entradas  ,9900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Langostino thai,"Langostino tempura, con Aguacate y queso crema  cubierto en ajonjoli banado en una delicio",Sushi,14900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Tacna Roll,"Pescado blanco y crocante con aguacate y queso crema, cubierto con chicharroncitos de cala",Sushi,13900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Akihito,Porque Crispy sabe mejor. Atun acompanado de queso crema y aguacate. Todo el rollo tempura,Sushi,11900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Alaska,"Los mejores sabores y colores encontraras en este rollo, envuelto en salmon y aguacate, ac",Sushi,13900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Boom Roll,"La mejor mezcla entre kanikama , salmon tempurizado y queso crema, banados en ajonjoli, tr",Sushi,14900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),California,"La mejor combinacion posible. Palmito de cangrejo, pepino europeo, aguacate y masago.",Sushi,11900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Chipa,"Crocante piel de salmon, aguacate y queso crema envuelto en tajadas de platano maduro.",Sushi,11900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Hot Roll,"Te traemos algo diferente, pescado blanco y queso crema, todo tempurizado. ",Sushi,11900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Kanikama,"Delicioso kanikama acompanado de aguacate y queso crema, envuelto en algas trituradas y ba",Sushi,14900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Katakana,"Para los amantes del salmon tenemos el Katakana, envuelto en ajonjoli, acompanado de salmo",Sushi,12900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Langostino Crispy,"Al mejor estilo crunch, langostino y atun envuelto en masago y salmon.",Sushi,15900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Mozarella Roll,"El placer del Mozzarella derritiendose en tu boca es inigualable. Langostino crispy, mozza",Sushi,13900,4.20755004882813,5850,60,70,,,,,,,
suba 2 bog 4,4.7404756 - 74.0987969,La Lonchera (unicentro de Occidente),Nagasaki,"Una combinacion atomica entre palmito de cangrejo, queso crema y aguacate y para darle su ",Sushi,11900,4.20755004882813,5850,60,70,,,,,,,
